"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,1328,1,10,"__amd_rocclr_fillBufferAligned",1,1182455386691960,1182455386701141,0,0,12,4,48,256,1,1,77824,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1328,2,10,"__amd_rocclr_fillBufferAligned",2,1182455386701141,1182455386710482,0,0,12,4,48,256,1,1,77824,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1328,3,11,"vadd(float const*, float const*, float*, int)",3,1182455387148394,1182455387165032,0,0,8,0,16,256,1,1,4194304,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1328,4,11,"vadd(float const*, float const*, float*, int)",4,1182455387165032,1182455387175416,0,0,8,0,16,256,1,1,4194304,1,1
